Литовское слово,Английский,Русский
"sotus, -i",full,сытый
"sportuoti, sportuoja, sportavo",do sports,заниматься спортом
spurga,doughnut,пончик
sriuba,soup,суп
staliukas,table,столик
"stotis, -ies",station,станция
"stovėti, stovi, stovėjo",stand,стоять
"studijuoti, studijuoja, studijavo",study,учиться
sultys,juice,сок
"sumuštinis, -io",sandwich,бутерброд
sūnėnas,nephew,племянник
sūnus,son,сын
"suprasti, supranta, suprato",understand,понимать
"susitikti, susitinka, susitiko",meet,встречаться
"sūris, -io",cheese,сыр
"sūrus, -i",salty,солёный
sviestas,butter,масло
svogūnas,onion,лук
"šakotis, -io",spit cake,шакотис
"šaltas, -a",cold,холодный
šeima,family,семья
"šeštadienis, -io",Saturday,суббота
šiandien,today,сегодня
"šie, šios",these,эти
"šiltas, -a",warm,тёплый
"šis, ši",this,этот
šuo,dog,собака
"švelnus, -i",mild,мягкий
"šviesus, -i","blond, light","светлый, блондинистый"
"šviežias, -ia",fresh,свежий
"tas, ta",that,тот
taip,yes,да
"tamsus, -i",dark,тёмный
teta,aunt,тётя
"tėtis, -io",daddy,папа
tėvai,parents,родители
tėvas,father,отец
"tie, tos",those,те
tiltas,bridge,мост
toli,far,далеко
"trečiadienis, -io",Wednesday,среда
truputį,"a little (bit), a little",немного
"turėti, turi, turėjo ką?",have,иметь
turgus,market,рынок
upė,river,река
uogienė,jam,варенье
uogos,berries,ягоды
vaikas,child,ребёнок
vaikinas,young man,юноша
"vaikščioti, vaikščioja, vaikščiojo",walk,гулять
vaisiai,fruit,фрукты
vaistinė,pharmacy,аптека
vakaras,evening,вечер
vakarienė,supper,ужин
"vakarieniauti, vakarieniauja, vakarieniavo",have dinner,ужинать
valanda,hour,час
valgykla,canteen,столовая
"valgyti, valgo, valgė ką?, ko?",eat,есть
vanduo,water,вода
vardas,name,имя
varškė,curd,творог
"važiuoti, važiuoja, važiavo",go (by transport),ехать
vedęs,married man,женатый мужчина
"vėluoti, vėluoja, vėlavo",be late,опаздывать
"vidurinis, -ė",middle,средний
"viešbutis, -io",hotel,гостиница
"vyresnis, -ė",elder,старше
"vyriausias, -ia",senior,самый старший
"virtas, -a","boiled, cooked","варёный, приготовленный"
"virti, verda, virė ką?","boil, cook","варить, готовить"
visada,always,всегда
vištiena,chicken,курица
vynuogės,grapes,виноград
vyras,"husband, man","муж, мужчина"
vyšnios,cherries,вишня
"žalias, -ia","green, raw","зелёный, сырой"
"žemas, -a","short, low","низкий, короткий"
žirniai,peas,горох
"žiūrėti, žiūri, žiūrėjo ką?","look, watch",смотреть
žmogus,"person, human",человек
žmona,wife,жена
"žuvis, -ies",fish,рыба
akiniai,glasses,очки
"akis, -ies",eye,глаз
amžius,age,возраст
ant,on,на
apie,about,"о, про"
"apsiauti, apsiauna, apsiavė ką? / kuo?",put on shoes,обуваться
"apsipirkti, apsiperka, apsipirko",shop,делать покупки
"apsirengti, apsirengia, apsirengė ką? / kuo?","dress oneself, put on",одеваться
"atidaryti, atidaro, atidarė ką?",open,открывать
"atostogauti, atostogauja, atostogavo","be on holiday, have vacation",быть в отпуске
atostogos,"holiday, vacation","отпуск, каникулы"
"atrakinti, atrakina, atrakino ką?",unlock,отпирать
"atsiimti, atsiima, atsiėmė ką?",pick up,забирать
"atvažiuoti, atvažiuoja, atvažiavo",arrive,прибывать
atvirukas,postcard,открытка
"auksinis, -ė",golden,золотой
aukštas,floor,этаж
"aukštas, -a",high,высокий
"ausis, -ies",ear,ухо
auskarai,earrings,серьги
avalynė,footwear,обувь
"baigti, baigia, baigė ką?",finish,заканчивать
"balandis, -io",April,апрель
baldai,furniture,мебель
basutės,sandals,сандалии
batai,shoes,ботинки
bateliai,"court shoes, pumps",туфли
"bėgioti, bėgioja, bėgiojo",jog,бегать
